,County,City,Zipcode,Date,Price,Bedrooms,Title,Location,Link
0,Bergen,Alpine,7620,2018-04-16 19:04,2425,2br,♻♻ 2BR LUXURY PROPERTY! **NO FEE! MOMENTS FROM NYC ♻♻, ENGLEWOOD,https://newjersey.craigslist.org/apa/d/2br-luxury-property-no-fee/6563024931.html
1,Bergen,Alpine,7620,2018-04-16 19:00,1000,3br,"&& updated 3 Bedroom unit&& in Lyndhurst, NJ central air"," Lyndhurst, NJ",https://newjersey.craigslist.org/apa/d/updated-3-bedroom-unit-in/6563118751.html
2,Bergen,Alpine,7620,2018-04-16 18:58,2275,2br,Giant Sun drenched 2 bed next to Grove path minutes from Manhattan, Grove st,https://newjersey.craigslist.org/apa/d/giant-sun-drenched-2-bed-next/6563116603.html
3,Bergen,Alpine,7620,2018-04-16 18:51,2455,2br,♧♧ 2BR LUXURY PROPERTY! **NO FEE! MOMENTS FROM NYC ♧♧, ENGLEWOOD,https://newjersey.craigslist.org/apa/d/2br-luxury-property-no-fee/6563056950.html
4,Bergen,Alpine,7620,2018-04-16 18:50,2769,1br,Beautiful Luxury Loft Building - Huge Open Layouts!, Jersey City,https://newjersey.craigslist.org/apa/d/beautiful-luxury-loft/6563086400.html
5,Bergen,Alpine,7620,2018-04-16 18:49,1799,1br,LIMITED TIME!!! 1 Month Free! NO BROKER FEE! $0 Deposit! WONT LAST, West New York,https://newjersey.craigslist.org/apa/d/limited-time-1-month-free-no/6537011642.html
6,Bergen,Alpine,7620,2018-04-16 18:49,2350,4br,Harrison Apartment (No Fee),,https://newjersey.craigslist.org/apa/d/harrison-apartment-no-fee/6560804715.html
7,Bergen,Alpine,7620,2018-04-16 18:49,2199,2br,WALL OF WINDOWS!! Spacious Corner 2 Bed! *1mnthFREE/$0 Deposit* GET IN, Hackensack,https://newjersey.craigslist.org/apa/d/wall-of-windows-spacious/6557881888.html
8,Bergen,Alpine,7620,2018-04-16 18:49,1850,1br,"SPRING IS SPRUNG! FINNNALLY, Now come move in! 1 Bed w/ Den! $0 Deposi", Hackensack,https://newjersey.craigslist.org/apa/d/spring-is-sprung-finnnally/6557874822.html
9,Bergen,Alpine,7620,2018-04-16 18:48,1955,2br,1 Bed w/ Office! EZ 2 BED! (FREE RENT/NO DEPOSIT) CALL NOW!, Hackensack,https://newjersey.craigslist.org/apa/d/1-bed-office-ez-2-bed-free/6551524019.html
10,Bergen,Alpine,7620,2018-04-16 18:48,1725,1br,Studio w/ office and Den! Large Space! (1st Month Free/No Deposit), West New York,https://newjersey.craigslist.org/apa/d/studio-office-and-den-large/6537007857.html
11,Bergen,Alpine,7620,2018-04-16 18:46,1800,3br,"&& updated 3 Bedroom unit&& in Cliffside Park, NJ central air"," Cliffside Park, NJ",https://newjersey.craigslist.org/apa/d/updated-3-bedroom-unit-in/6563106459.html
12,Bergen,Alpine,7620,2018-04-16 18:44,1000,1br,Master bedroom JC Heights / Hoboken Heights, Ogden Ave,https://newjersey.craigslist.org/apa/d/master-bedroom-jc-heights/6563104356.html
13,Bergen,Alpine,7620,2018-04-16 18:43,1650,3br,Spacious 3 bed & 2 bath in quite area near Downtown Newark, Baldwin Avenue,https://newjersey.craigslist.org/apa/d/spacious-3-bed-2-bath-in/6563103267.html
14,Bergen,Alpine,7620,2018-04-16 18:42,2195,1br,"Stunning 1 bedroom, 1 bathroom Apartment", Somerville,https://newjersey.craigslist.org/apa/d/stunning-1-bedroom-1-bathroom/6563102126.html
15,Bergen,Alpine,7620,2018-04-16 18:39,1200,2br,"LARGE BLOOMFIELD 2 BEDROOM APARTMENT, WALK TO TRAIN", BLOOMFIELD,https://newjersey.craigslist.org/apa/d/large-bloomfield-2-bedroom/6550790123.html
