,County,City,Zipcode,Date,Price,Bedrooms,Title,Location,Link
0,Bergen,Alpine,7620,2018-04-16 09:33,1800,3br,Spacious Renovated 3 bed / 1.5 bath Apartment Available 5/1/2018!," 235 Cristiani St, Rosellem, NJ",https://newjersey.craigslist.org/apa/d/spacious-renovated-3-bed-15/6562448341.html
1,Bergen,Alpine,7620,2018-04-16 09:32,1675,2br,2 Bedrooms Apartment **RIGHT ACROSS Rahway Train Station**, 65 East Milton St,https://newjersey.craigslist.org/apa/d/2-bedrooms-apartment-right/6562468785.html
2,Bergen,Alpine,7620,2018-04-16 09:31,1830,1br,♻1BR LUXURY BUILDING! **NO FEE! FREE SHUTTLE TO EXPRESS NYC TRAINS!, EAST RUTHERFORD,https://newjersey.craigslist.org/apa/d/1br-luxury-building-no-fee/6562461633.html
3,Bergen,Alpine,7620,2018-04-16 09:30,2250,1br,Guttenberg Galaxy Towers One Bedroom apt on Blvd East, 7000 Blvd East,https://newjersey.craigslist.org/apa/d/guttenberg-galaxy-towers-one/6543874805.html
4,Bergen,Alpine,7620,2018-04-16 09:30,2100,1br,Guttenberg 1 bd 1.5 baths Condo with Terrace on Blvd East, 7002 Boulevard east,https://newjersey.craigslist.org/apa/d/guttenberg-1-bd-15-baths/6562472844.html
5,Bergen,Alpine,7620,2018-04-16 09:29,1913,,Between homes? Short Term Furnished Studio Available Immediately!," Mt. Olive / Budd Lake, NJ",https://newjersey.craigslist.org/apa/d/between-homes-short-term/6562472456.html
6,Bergen,Alpine,7620,2018-04-16 09:29,1169,1br,Apartment available in Newark near NJIT and Rutgers, Newark,https://newjersey.craigslist.org/apa/d/apartment-available-in-newark/6542759743.html
7,Bergen,Alpine,7620,2018-04-16 09:28,1575,1br,West New York One Bedroom apartment for rent on Blvd East, 6045 Blvd East,https://newjersey.craigslist.org/apa/d/west-new-york-one-bedroom/6553435548.html
8,Bergen,Alpine,7620,2018-04-16 09:28,1050,1br,BRAND NEW RENOVATED APARTMENTS IN EAST ORANGE*NEAR TRANSIT*NO FEE, EAST ORANGE*30 MIN  TO NYC,https://newjersey.craigslist.org/apa/d/brand-new-renovated/6558951025.html
9,Bergen,Alpine,7620,2018-04-16 09:28,2100,1br,West New York One bedroom apt on Blvd East Large Terrace, 6040 Blvd east,https://newjersey.craigslist.org/apa/d/west-new-york-one-bedroom-apt/6560529740.html
10,Bergen,Alpine,7620,2018-04-16 09:28,995,1br,STUNNING RENOVATED 1 BR APT*PARK AVE*EAST ORANGE*NO FEE," 470 Park Ave^East Orange,NJ",https://newjersey.craigslist.org/apa/d/stunning-renovated-1-br/6558880887.html
11,Bergen,Alpine,7620,2018-04-16 09:28,1295,2br,NEW MANAGEMENT* RENOVATED 2 BR APT*PARK AVE EAST ORANGE*NO FEE," 492 PARK AVE EAST ORANGE, NJ",https://newjersey.craigslist.org/apa/d/new-management-renovated-2-br/6558876187.html
12,Bergen,Alpine,7620,2018-04-16 09:28,1025,1br,COZY 1 BR APT--BRICK CHURCH--20 MIN TO NYC--NO FEE," 83 HALSTED ST EAST ORANGE, NJ",https://newjersey.craigslist.org/apa/d/cozy-1-br-apt-brick-church-20/6558944808.html
13,Bergen,Alpine,7620,2018-04-16 09:28,1195,1br,SS APPLIANCES*GRANITE*GREAT LOCATION*PARKING*LAUNDRY*NO FEE, HIGH STREET ORANGE NJ,https://newjersey.craigslist.org/apa/d/ss-appliancesgranitegreat/6558923090.html
15,Bergen,Alpine,7620,2018-04-16 09:28,895,,BRICK CHURCH STATION*20 MIN TO NYC*LARGE STUDIO APT* NO FEE, EAST ORANGE*BRICK CHURCH,https://newjersey.craigslist.org/apa/d/brick-church-station20-min-to/6559098125.html
