Borough,Neighborhood,Zipcode,Date,Price,Bedrooms,Title,Location,Link
Bronx,Central Bronx,10453,2018-03-13 15:39,1400,1br,1400.00 1 BR GREAT LOCATION . APT. - MOVE-IN ASAP, 173ST/GRAND CONCOURSE,https://newyork.craigslist.org/brx/abo/d/br-great-location-apt-move-in/6529369634.html
Bronx,Central Bronx,10453,2018-03-13 14:26,2500,3br,Large 3brs Apt By Mount Eden Bronx Aria, Mount Eden,https://newyork.craigslist.org/brx/abo/d/large-3brs-apt-by-mount-eden/6529349189.html
Bronx,Central Bronx,10453,2018-03-13 14:20,1324,1br,?? Must see!w/Beautiful?? ~1 bedroom great location,,https://newyork.craigslist.org/brx/abo/d/must-seew-beautiful-1-bedroom/6511266221.html
Bronx,Central Bronx,10453,2018-03-13 14:09,1450,1br,Gorgeous One Bedroom Apartments/Newly Renovated By Bronx Lebanon Hospi, Grand Concourse/Creston Ave,https://newyork.craigslist.org/brx/abo/d/gorgeous-one-bedroom/6529181980.html
Bronx,Central Bronx,10453,2018-03-13 13:34,1650,1br,*&&NO FEE** GORGEOUS 1 BED** RENOVATED!! &&*, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6518467529.html
Bronx,Central Bronx,10453,2018-03-13 13:34,1650,1br,*@NO FEE** GORGEOUS 1 BED** RENOVATED!!&*, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6518467609.html
Bronx,Central Bronx,10453,2018-03-13 12:33,1324,1br,?? lOvElY 1 BeDrOoM apt?wood floors wood ? kitchen,,https://newyork.craigslist.org/brx/abo/d/lovely-1-bedroom-aptwood/6497767787.html
Bronx,Central Bronx,10453,2018-03-13 11:22,1750,2br,Stunning Two Bedrooms Apartments With Elevator/ Stainless Steel App/ 4, Morris Heights,https://newyork.craigslist.org/brx/abo/d/stunning-two-bedrooms/6528945003.html
Bronx,Central Bronx,10453,2018-03-13 09:34,1500,2br,??Lots of closet space/?Morris Heights.?Newly renova,,https://newyork.craigslist.org/brx/abo/d/lots-of-closet-space-morris/6500431168.html
Bronx,Central Bronx,10453,2018-03-12 21:31,1324,1br,?? sunny apt.w/Beautiful one bedroom Heat and Hot ?? wAt,,https://newyork.craigslist.org/brx/abo/d/sunny-aptw-beautiful-one/6496460832.html
Bronx,Central Bronx,10453,2018-03-12 16:58,1400,1br,M/1 $1400 1 BR GREAT LOCATION APT MOVE-IN ASAP, 173ST / GRAND CONCOURSE,https://newyork.craigslist.org/brx/abo/d/br-great-location-apt-move-in/6528204947.html
Bronx,Central Bronx,10453,2018-03-12 16:35,1500,2br,??? Newly renovated apartment.??  Clean & spac,,https://newyork.craigslist.org/brx/abo/d/newly-renovated-apartment/6528139601.html
Bronx,Central Bronx,10453,2018-03-12 14:27,1375,1br,TERRIFIC ONE BR APT RECENTLY RENOVATED/ NEAR 2-5 TRAIN, Walton Ave,https://newyork.craigslist.org/brx/abo/d/terrific-one-br-apt-recently/6514698959.html
Bronx,Central Bronx,10453,2018-03-12 14:11,600,1br,??? Multiple rooms and apartments ?? now rent,,https://newyork.craigslist.org/brx/abo/d/multiple-rooms-and-apartments/6527926400.html
Bronx,Central Bronx,10453,2018-03-12 13:29,1400,1br,$1400 1 BR GREAT LOCATION . APT. - MOVE-IN ASAP, 173ST/GRAND CONCOURSE,https://newyork.craigslist.org/brx/abo/d/br-great-location-apt-move-in/6527933421.html
